Title,Pub_name,DOI,Year,Link
Preparation of hydroxypropyl starch/polyvinyl alcohol composite nanofibers films and improvement of hydrophobic properties,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.11.114,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2022.11.114?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
5.10: Biocatalysis for Cellulosic Alcohol and Biodiesel Preparation: Roles of (co-)Solvents,Comprehensive Renewable Energy,10.1016/B978-0-12-819727-1.00027-3,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-819727-1.00027-3?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of poly(vinyl alcohol-co-ethylene) hollow fiber membranes for high-flux ultrafiltration applications,Polymer,10.1016/j.polymer.2022.125607,2023-01-24,https://api.elsevier.com/content/article/doi/10.1016/j.polymer.2022.125607?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Preparation of a starch-based adhesive cross-linked with furfural, furfuryl alcohol and epoxy resin",International Journal of Adhesion and Adhesives,10.1016/j.ijadhadh.2021.102958,2021-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.ijadhadh.2021.102958?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and evaluation of a temperature-responsive methylcellulose/polyvinyl alcohol hydrogel for stem cell encapsulation,Polymer Testing,10.1016/j.polymertesting.2023.107936,2023-02-28,https://api.elsevier.com/content/article/doi/10.1016/j.polymertesting.2023.107936?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Solid alcohol biofuel based on waste cooking oil: Preparation, properties, micromorphology, heating value optimization and its application as candle wax",Renewable Energy,10.1016/j.renene.2022.04.100,2022-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.renene.2022.04.100?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of a multifunctional non-stick tamarind polysaccharide-polyvinyl alcohol hydrogel immobilized with a quorum quenching enzyme for maintaining fish freshness,Carbohydrate Polymers,10.1016/j.carbpol.2022.120382,2023-02-15,https://api.elsevier.com/content/article/doi/10.1016/j.carbpol.2022.120382?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of carboxymethyl cellulose/polyvinyl alcohol wound dressing composite immobilized with anthocyanin extract for colorimetric monitoring of wound healing and prevention of wound infection,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.10.119,2023-01-01,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2022.10.119?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of copper oxides/polyvinyl alcohol nanocoatings with antibacterial activity,Chemical Data Collections,10.1016/j.cdc.2022.100869,2022-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.cdc.2022.100869?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Evaluation of Incise Drape Lift Using 2% Chlorhexidine Gluconate/70% Isopropyl Alcohol Preoperative Skin Preparations in a Human Volunteer Knee Model,Arthroplasty Today,10.1016/j.artd.2022.02.024,2022-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.artd.2022.02.024?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and characterization of solid biopolymer electrolytes based on polyvinyl alcohol/cellulose acetate blend doped with potassium carbonate (K<ce:inf loc=post>2</ce:inf>CO<ce:inf loc=post>3</ce:inf>) salt,Journal of Electroanalytical Chemistry,10.1016/j.jelechem.2022.116539,2022-08-15,https://api.elsevier.com/content/article/doi/10.1016/j.jelechem.2022.116539?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and characterization of natural rubber with polyvinyl alcohol microfibers,Materials Today: Proceedings,10.1016/j.matpr.2022.06.500,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/j.matpr.2022.06.500?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of Pd@CuBi<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>4</ce:inf> photocatalysts and their performance for selective oxidation of benzyl alcohol under visible light illumination,Materials Science in Semiconductor Processing,10.1016/j.mssp.2022.106499,2022-05-31,https://api.elsevier.com/content/article/doi/10.1016/j.mssp.2022.106499?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and application of self-healing polyvinyl alcohol/bacterial cellulose hydrogel electrolyte,Journal of Fuel Chemistry and Technology,10.1016/S1872-5813(21)60179-2,2022-03-31,https://api.elsevier.com/content/article/doi/10.1016/S1872-5813(21)60179-2?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Simultaneous exfoliation and functionalization of black phosphorus by sucrose-assisted ball milling with NMP intercalating and preparation of flame retardant polyvinyl alcohol film,Polymer,10.1016/j.polymer.2022.125036,2022-08-22,https://api.elsevier.com/content/article/doi/10.1016/j.polymer.2022.125036?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Preparation, characterization and food packaging application of nano ZnO@Xylan/quaternized xylan/polyvinyl alcohol composite films",International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.06.157,2022-08-31,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2022.06.157?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Alcohol Pads and Nonsterile Gloves in Preparation of Aflibercept,Ophthalmology Retina,10.1016/j.oret.2020.04.006,2020-08-31,https://api.elsevier.com/content/article/doi/10.1016/j.oret.2020.04.006?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of antimicrobial poly (ethylene-<ce:italic>co</ce:italic>-vinyl alcohol) membrane by grafting with N-halamine,Reactive and Functional Polymers,10.1016/j.reactfunctpolym.2022.105187,2022-03-31,https://api.elsevier.com/content/article/doi/10.1016/j.reactfunctpolym.2022.105187?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
One-pot preparation of Julia-Kocienski sulfides and sulfones from alcohols,Tetrahedron Letters,10.1016/j.tetlet.2019.151017,2019-09-05,https://api.elsevier.com/content/article/doi/10.1016/j.tetlet.2019.151017?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Porous scaffold preparation analysis for knee joint using chitosan-polyvinyl alcohol-hydroxyapatite nanoparticles under fuzzy uncertainty,Materials Chemistry and Physics,10.1016/j.matchemphys.2022.126169,2022-06-01,https://api.elsevier.com/content/article/doi/10.1016/j.matchemphys.2022.126169?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Formation of medium- and long-chain fatty alcohols in long-term stored oil and biodiesels revealed by chemical isotope labeling-liquid chromatography-high resolution mass spectrometry,Industrial Crops and Products,10.1016/j.indcrop.2022.116171,2023-03-31,https://api.elsevier.com/content/article/doi/10.1016/j.indcrop.2022.116171?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of hydrogel with self-healing properties based on poly(vinyl alcohol)/corn starch/zeolite/cellulose nanocrystals for wound dressing applications,Materials Today: Proceedings,10.1016/j.matpr.2021.10.432,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/j.matpr.2021.10.432?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Pineapple peel extract incorporated poly(vinyl alcohol)-corn starch film for active food packaging: Preparation, characterization and antioxidant activity",International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2021.07.136,2021-09-30,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2021.07.136?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of carboxymethyl starch/polyvinyl-alcohol electrospun composite nanofibers from a green approach,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2021.09.015,2021-11-01,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2021.09.015?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Electronic control of catalytic activity of ZnO for higher alcohols synthesis via tailoring Fermi level,Fuel Processing Technology,10.1016/j.fuproc.2022.107600,2023-03-31,https://api.elsevier.com/content/article/doi/10.1016/j.fuproc.2022.107600?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and application of green chitosan/ploy (vinyl alcohol) porous microspheres for the removal of hexavalent chromium,Materials Science and Engineering: B,10.1016/j.mseb.2022.115922,2022-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.mseb.2022.115922?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Aerobic oxidation of benzyl alcohol: Influence from catalysts basicity, acidity, and preparation methods",Molecular Catalysis,10.1016/j.mcat.2020.110789,2020-04-30,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2020.110789?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Highly selective photocatalytic oxidation of alcohols under the application of novel metal organic frameworks (MOFs) based catalytic system,Journal of Colloid and Interface Science,10.1016/j.jcis.2022.08.119,2023-01-31,https://api.elsevier.com/content/article/doi/10.1016/j.jcis.2022.08.119?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Biocatalytic preparation of a key intermediate of antifungal drugs using an alcohol dehydrogenase with high organic tolerance,Tetrahedron Letters,10.1016/j.tetlet.2021.153455,2021-11-09,https://api.elsevier.com/content/article/doi/10.1016/j.tetlet.2021.153455?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of thiosemicarbazide-modified polyvinyl alcohol and its selective adsorption of Cu(II),Colloid and Interface Science Communications,10.1016/j.colcom.2021.100377,2021-07-31,https://api.elsevier.com/content/article/doi/10.1016/j.colcom.2021.100377?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Recyclable copper catalyst on chitosan for facile preparation of alkyl/aryl mixed phosphates via deaminated esterification between diphenylphosphoryl azides and aliphatic alcohols,Molecular Catalysis,10.1016/j.mcat.2020.111120,2020-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2020.111120?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and evaluation of benzalkonium chloride hand sanitizer as a potential alternative for alcohol-based hand gels,Saudi Pharmaceutical Journal,10.1016/j.jsps.2021.06.002,2021-08-31,https://api.elsevier.com/content/article/doi/10.1016/j.jsps.2021.06.002?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Chlorhexidine–alcohol versus iodine–alcohol for surgical site skin preparation in an elective arthroplasty (ACAISA) study: a cluster randomized controlled trial,Clinical Microbiology and Infection,10.1016/j.cmi.2019.06.016,2019-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.cmi.2019.06.016?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Preparation, thermal properties and charging/discharging characteristics of sodium acetate/stearic acid/octadecyl alcohol composite as phase change materials",Applied Thermal Engineering,10.1016/j.applthermaleng.2022.118143,2022-04-30,https://api.elsevier.com/content/article/doi/10.1016/j.applthermaleng.2022.118143?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and properties of cellulosenanofiber (CNF) /polyvinyl alcohol (PVA) /graphene oxide (GO): Application of CO<ce:inf loc=post>2</ce:inf> absorption capacity and molecular dynamics simulation,Journal of Environmental Management,10.1016/j.jenvman.2021.114044,2022-01-15,https://api.elsevier.com/content/article/doi/10.1016/j.jenvman.2021.114044?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Carbonyl-anchored single-atom palladium achieved on waste printing paper-derived carbon material by impregnation method: remarkable performance in selective oxidation of benzyl alcohol,Materials Today Chemistry,10.1016/j.mtchem.2022.101340,2023-03-31,https://api.elsevier.com/content/article/doi/10.1016/j.mtchem.2022.101340?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effect of alcohol content on the ionomer adsorption of polymer electrolyte membrane fuel cell catalysts,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2022.11.116,2022-12-07,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2022.11.116?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Generational shifts in attitudes and beliefs about alcohol: An age-period-cohort approach,Drug and Alcohol Dependence,10.1016/j.drugalcdep.2022.109755,2023-02-01,https://api.elsevier.com/content/article/doi/10.1016/j.drugalcdep.2022.109755?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and properties of <ce:italic>O</ce:italic>-chitosan quaternary ammonium salt/polyvinyl alcohol/graphene oxide dual self-healing hydrogel,Carbohydrate Polymers,10.1016/j.carbpol.2022.119318,2022-07-01,https://api.elsevier.com/content/article/doi/10.1016/j.carbpol.2022.119318?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and study of 3D printed dipyridamole/β-tricalcium phosphate/ polyvinyl alcohol composite scaffolds in bone tissue engineering,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2021.103053,2022-02-28,https://api.elsevier.com/content/article/doi/10.1016/j.jddst.2021.103053?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Audio-based Deep Learning Algorithm to Identify Alcohol Inebriation (ADLAIA),Alcohol,10.1016/j.alcohol.2022.12.002,2022-12-28,https://api.elsevier.com/content/article/doi/10.1016/j.alcohol.2022.12.002?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Biocatalytic aminohydroxylation of styrenes for efficient synthesis of enantiopure <ce:italic>β</ce:italic>-amino alcohols,Chinese Journal of Catalysis,10.1016/S1872-2067(22)64174-3,2023-01-31,https://api.elsevier.com/content/article/doi/10.1016/S1872-2067(22)64174-3?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Scalable preparation of stable and reusable silica supported palladium nanoparticles as catalysts for N-alkylation of amines with alcohols,Journal of Catalysis,10.1016/j.jcat.2019.12.012,2020-02-29,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2019.12.012?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Robust salen-typed Ce-MOFs supported Fe(III) catalyst fabricated by metalloligand strategy for catalytic epoxides with alcohols,Molecular Catalysis,10.1016/j.mcat.2022.112764,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2022.112764?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Alkali-cellulose/ Polyvinyl alcohol biofilms fabricated with essential clove oil as a novel scented antimicrobial packaging material,Carbohydrate Polymer Technologies and Applications,10.1016/j.carpta.2022.100273,2023-06-30,https://api.elsevier.com/content/article/doi/10.1016/j.carpta.2022.100273?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Facile preparation of agar/polyvinyl alcohol-based triple-network composite hydrogels with excellent mechanical performances,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2021.126270,2021-04-20,https://api.elsevier.com/content/article/doi/10.1016/j.colsurfa.2021.126270?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Lauryl alcohol and stearyl alcohol eutectic for cold thermal energy storage in buildings: Preparation, thermophysical studies and performance analysis",Journal of Energy Storage,10.1016/j.est.2020.101600,2020-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.est.2020.101600?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Enhanced degradation of polyvinyl alcohol over a Cu<ce:sup loc=post>0</ce:sup>-carbon@γ-Al<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>3</ce:inf> composite through heterogeneous Fenton-like reactions: Preparation, mechanism, and applications",Applied Catalysis A: General,10.1016/j.apcata.2022.118721,2022-08-05,https://api.elsevier.com/content/article/doi/10.1016/j.apcata.2022.118721?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and investigation of a novel iodine-based visible polyvinyl alcohol embolization material,Journal of Interventional Medicine,10.1016/j.jimed.2022.03.009,2022-05-31,https://api.elsevier.com/content/article/doi/10.1016/j.jimed.2022.03.009?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and characterization of chitosan/polyvinyl porous alcohol aerogel microspheres with stable physicochemical properties,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2021.07.127,2021-09-30,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2021.07.127?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Polysubstance use among young adults and differences in negative alcohol-related sexual experiences,Addictive Behaviors,10.1016/j.addbeh.2022.107571,2023-03-31,https://api.elsevier.com/content/article/doi/10.1016/j.addbeh.2022.107571?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Thermal conductivity of sugar alcohols,Solar Energy Materials and Solar Cells,10.1016/j.solmat.2022.111796,2022-08-15,https://api.elsevier.com/content/article/doi/10.1016/j.solmat.2022.111796?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of corn glycopeptides and evaluation of their antagonistic effects on alcohol-induced liver injury in rats,Journal of Functional Foods,10.1016/j.jff.2019.103776,2020-03-31,https://api.elsevier.com/content/article/doi/10.1016/j.jff.2019.103776?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and performance evaluation of chitosan/polyvinylpyrrolidone/polyvinyl alcohol electrospun nanofiber membrane for heavy metal ions and organic pollutants removal,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.05.017,2022-06-15,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2022.05.017?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Antimicrobial performance of two preoperative skin preparation solutions containing iodine and isopropyl alcohol,American Journal of Infection Control,10.1016/j.ajic.2021.10.031,2022-07-31,https://api.elsevier.com/content/article/doi/10.1016/j.ajic.2021.10.031?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and application of maleic acid crosslinked polyvinyl alcohol/mica coating for barrier paper,Progress in Organic Coatings,10.1016/j.porgcoat.2022.106937,2022-09-30,https://api.elsevier.com/content/article/doi/10.1016/j.porgcoat.2022.106937?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Directed evolution of lipase A from <ce:italic>Bacillus subtilis</ce:italic> for the preparation of enantiocomplementary <ce:italic>sec</ce:italic>-alcohols,Green Synthesis and Catalysis,10.1016/j.gresc.2021.07.003,2021-08-31,https://api.elsevier.com/content/article/doi/10.1016/j.gresc.2021.07.003?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and evaluation of highly dispersed HHSS supported Cu-Fe bimetallic catalysts for higher alcohols synthesis from syngas,Applied Catalysis A: General,10.1016/j.apcata.2020.117868,2020-11-25,https://api.elsevier.com/content/article/doi/10.1016/j.apcata.2020.117868?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and characterization of carbon fibre powder (CFP)-polyvinyl alcohol (PVA) composite films showing percolation threshold behaviour,Materials Science and Engineering: B,10.1016/j.mseb.2021.115500,2022-01-31,https://api.elsevier.com/content/article/doi/10.1016/j.mseb.2021.115500?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of S–W-codoped TiO<ce:inf loc=post>2</ce:inf> nanotubes and effect of various hole scavengers on their photoelectrochemical activity: Alcohol series,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2020.09.112,2020-11-27,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2020.09.112?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
A switchable-oxidative cellulose filter paper bearing immobilized Mn<ce:sup loc=post>(III)</ce:sup>-salen complex for alcohol oxidation,Arabian Journal of Chemistry,10.1016/j.arabjc.2022.104140,2022-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.arabjc.2022.104140?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Novel hybrid composites based on double-decker silsesquioxanes functionalized by methacrylate derivatives and polyvinyl alcohol as potential materials utilized in biomedical applications,Biomaterials Advances,10.1016/j.bioadv.2023.213290,2023-01-14,https://api.elsevier.com/content/article/doi/10.1016/j.bioadv.2023.213290?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and characterization of antibacterial polyvinyl alcohol/chitosan sponge and potential applied for wound dressing,European Polymer Journal,10.1016/j.eurpolymj.2021.110619,2021-08-15,https://api.elsevier.com/content/article/doi/10.1016/j.eurpolymj.2021.110619?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and characterization of silk fibroin-polyvinyl alcohol (PVA) blend films for food packaging materials,Materials Today: Proceedings,10.1016/j.matpr.2022.02.034,2022-12-31,https://api.elsevier.com/content/article/doi/10.1016/j.matpr.2022.02.034?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Synergistic hydrogenolysis of biomass furfuryl alcohol over Ru/solid base catalysts in hydrothermal reaction environment,Journal of Fuel Chemistry and Technology,10.1016/S1872-5813(21)60111-1,2021-12-31,https://api.elsevier.com/content/article/doi/10.1016/S1872-5813(21)60111-1?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
